Disease,Description
Drug Reaction,"Reaksi obat yang merugikan (Adverse Drug Reaction/ADR) adalah cedera yang disebabkan oleh penggunaan obat. Reaksi ini bisa terjadi setelah satu dosis obat atau penggunaan obat dalam jangka panjang, atau bisa juga muncul akibat kombinasi obat."
Malaria,Penyakit infeksi yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan melalui gigitan nyamuk Anopheles atau melalui jarum suntik atau transfusi yang terkontaminasi. Malaria falciparum adalah jenis yang paling mematikan.
Allergy,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda, seperti makanan tertentu, serbuk sari, atau kulit hewan peliharaan. Tugas sistem kekebalan tubuh adalah menjaga kesehatan dengan melawan patogen berbahaya."
Hypothyroidism,Hipotiroidisme adalah kondisi gangguan endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.
Psoriasis,"Psoriasis adalah gangguan kulit umum yang membentuk bercak tebal, merah, dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi biasanya muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak menular antar orang."
GERD,"Penyakit refluks gastroesofageal, atau GERD, adalah gangguan pencernaan yang mempengaruhi sfingter esofagus bawah, yaitu cincin otot antara esofagus dan lambung. Banyak orang, termasuk wanita hamil, mengalami mulas atau dispepsia akibat GERD."
Chronic cholestasis,"Penyakit kolestatik kronis, baik yang terjadi pada bayi, anak-anak, atau orang dewasa, ditandai oleh gangguan transportasi asam empedu dari hati ke usus, yang sebagian besar disebabkan oleh kerusakan primer pada epitel bilier."
hepatitis A,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus ini adalah salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan mempengaruhi kemampuan fungsi hati Anda.
Osteoarthristis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Terjadi ketika tulang rawan pelindung yang melindungi ujung tulang Anda aus seiring waktu."
(vertigo) Paroymsal  Positional Vertigo,Vertigo posisi paroksismal jinak (BPPV) adalah salah satu penyebab paling umum dari vertigo — sensasi tiba-tiba bahwa Anda berputar atau bagian dalam kepala Anda berputar. BPPV menyebabkan episode pusing ringan hingga intens.
Hypoglycemia,"Hipoglikemia adalah kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari normal. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering terkait dengan pengobatan diabetes, tetapi kondisi lain juga bisa menyebabkan gula darah rendah."
Acne,"Jerawat vulgaris adalah pembentukan komedo, papula, pustula, nodul, dan/atau kista akibat penyumbatan dan peradangan unit pilosebasea (folikel rambut dan kelenjar sebaceus yang menyertainya). Jerawat berkembang di wajah dan tubuh bagian atas."
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang diproduksi oleh pankreas, membantu memasukkan glukosa dari makanan ke dalam sel Anda untuk digunakan sebagai energi."
Impetigo,"Impetigo adalah infeksi kulit yang umum dan sangat menular yang terutama mempengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, serta di tangan dan kaki."
Hypertension,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri secara terus-menerus tinggi. Tekanan darah tinggi biasanya tidak menimbulkan gejala."
Peptic ulcer diseae,"Penyakit ulkus peptikum (PUD) adalah kerusakan pada lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang-kadang esofagus bawah. Ulkus di lambung disebut ulkus lambung, sedangkan yang di usus disebut ulkus duodenum."
Dimorphic hemorrhoids(piles),"Hemoroid, juga disebut wasir, adalah struktur vaskular di saluran anus. Dalam kondisi yang merugikan, hemoroid dapat membengkak dan menyebabkan rasa sakit dan ketidaknyamanan."
Common Cold,"Pilek biasa adalah infeksi virus pada hidung dan tenggorokan (saluran pernapasan atas). Biasanya tidak berbahaya, meskipun mungkin terasa tidak nyaman. Banyak jenis virus dapat menyebabkan pilek biasa."
Chicken pox,"Cacar air adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Ini dapat menyebabkan ruam gatal seperti lepuh. Ruam pertama kali muncul di dada, punggung, dan wajah, kemudian menyebar ke seluruh tubuh."
Cervical spondylosis,"Spondilosis servikal adalah istilah umum untuk keausan terkait usia yang mempengaruhi cakram tulang belakang di leher Anda. Ketika cakram menyusut, tanda-tanda osteoartritis muncul, termasuk pertumbuhan tulang di tepi tulang (spur tulang)."
Hyperthyroidism,"Hipertiroidisme terjadi ketika kelenjar tiroid Anda memproduksi terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur."
Urinary tract infection,"Infeksi saluran kemih: Infeksi pada ginjal, ureter, kandung kemih, atau uretra. Disingkat UTI. Gejala umum termasuk sering ingin buang air kecil dan nyeri atau sensasi terbakar saat buang air kecil."
Varicose veins,"Vena yang membesar dan berliku, sering muncul sebagai pembuluh darah biru yang menonjol melalui kulit. Varises paling umum terjadi pada orang dewasa yang lebih tua, terutama wanita, dan terutama terjadi di kaki."
AIDS,"Sindrom imunodefisiensi didapat (AIDS) adalah kondisi kronis yang berpotensi mengancam jiwa yang disebabkan oleh virus imunodefisiensi manusia (HIV). Dengan merusak sistem kekebalan tubuh, HIV mengganggu kemampuan tubuh Anda untuk melawan infeksi dan penyakit."
Paralysis (brain hemorrhage),"Hemoragi intrakranial (ICH) terjadi ketika darah tiba-tiba masuk ke jaringan otak, menyebabkan kerusakan. Gejalanya biasanya muncul tiba-tiba selama ICH. Mereka termasuk sakit kepala, kelemahan, kebingungan, dan kelumpuhan, terutama di satu sisi tubuh."
Typhoid,"Penyakit akut yang ditandai oleh demam yang disebabkan oleh infeksi bakteri Salmonella typhi. Demam tifoid memiliki onset yang bertahap, dengan gejala demam, sakit kepala, konstipasi, malaise, menggigil, dan nyeri otot. Diare jarang terjadi, dan muntah biasanya tidak parah."
Hepatitis B,"Hepatitis B adalah infeksi hati yang dapat menyebabkan jaringan parut pada organ, gagal hati, dan kanker. Ini bisa berakibat fatal jika tidak ditangani. Penyebarannya terjadi ketika seseorang bersentuhan dengan darah, luka terbuka, atau cairan tubuh dari orang yang memiliki virus hepatitis B."
Fungal infection,"Pada manusia, infeksi jamur terjadi ketika jamur menginvasi area tubuh dan terlalu banyak bagi sistem kekebalan untuk ditangani. Jamur dapat hidup di udara, tanah, air, dan tanaman. Beberapa jamur juga hidup secara alami di tubuh manusia."
Hepatitis C,"Peradangan hati akibat virus hepatitis C (HCV), yang biasanya menyebar melalui transfusi darah (jarang), hemodialisis, dan jarum suntik. Kerusakan yang ditimbulkan oleh hepatitis C pada hati dapat menyebabkan sirosis serta kanker."
Migraine,"Migrain dapat menyebabkan nyeri yang berdenyut parah atau sensasi berdenyut, biasanya pada satu sisi kepala. Sering disertai mual, muntah, dan kepekaan yang ekstrem terhadap cahaya dan suara. Serangan migrain dapat berlangsung selama berjam-jam hingga berhari-hari, dan rasa sakitnya dapat sangat parah sehingga mengganggu aktivitas sehari-hari Anda."
Bronchial Asthma,"Asma bronkial adalah kondisi medis yang menyebabkan saluran udara di paru-paru membengkak dan menyempit. Karena pembengkakan ini, saluran udara menghasilkan lebih banyak lendir dari biasanya. Kondisi ini membuat pasien sulit bernapas."
Alcoholic hepatitis,"Hepatitis alkoholik adalah kondisi inflamasi hati yang disebabkan oleh konsumsi alkohol berat dalam jangka waktu yang panjang. Ini juga dapat diperburuk oleh minum alkohol secara berlebihan dan penggunaan alkohol yang berkelanjutan. Jika Anda mengembangkan kondisi ini, Anda harus berhenti minum alkohol."
Jaundice,"Jaundice adalah pewarnaan kuning pada kulit dan sklera (bagian putih mata) karena kadar bilirubin, pigmen empedu, yang sangat tinggi dalam darah. Warna kuning ini juga dapat meluas ke jaringan dan cairan tubuh lainnya. Jaundice pernah disebut ""morbus regius"" (penyakit raja) karena diyakini hanya sentuhan raja yang bisa menyembuhkannya."
Hepatitis E,Hepatitis E adalah bentuk langka peradangan hati yang disebabkan oleh infeksi virus hepatitis E (HEV). Penyebarannya dapat terjadi melalui makanan atau minuman yang ditangani oleh orang yang terinfeksi atau melalui pasokan air yang terkontaminasi di daerah di mana kotoran bisa masuk ke air. Hepatitis E tidak menyebabkan penyakit hati kronis.
Dengue,"Penyakit infeksi akut yang disebabkan oleh virus flavivirus (spesies virus Dengue dari genus Flavivirus), ditularkan oleh nyamuk Aedes, dan ditandai oleh sakit kepala, nyeri sendi yang parah, dan ruam. Juga disebut sebagai demam sendi, demam dengue."
Hepatitis D,"Hepatitis D, juga dikenal sebagai virus hepatitis delta, adalah infeksi yang menyebabkan hati menjadi meradang. Pembengkakan ini dapat mengganggu fungsi hati dan menyebabkan masalah hati jangka panjang, termasuk jaringan parut hati dan kanker. Kondisi ini disebabkan oleh virus hepatitis D (HDV)."
Heart attack,"Kematian otot jantung akibat hilangnya pasokan darah. Kehilangan pasokan darah biasanya disebabkan oleh penyumbatan total arteri koroner, salah satu arteri yang memasok darah ke otot jantung."
Pneumonia,"Pneumonia adalah infeksi pada satu atau kedua paru-paru. Penyebabnya bisa oleh bakteri, virus, atau jamur. Infeksi menyebabkan peradangan pada kantong udara di paru-paru, yang disebut alveoli. Alveoli terisi dengan cairan atau nanah, membuat sulit bernapas."
Arthritis,"Arthritis adalah pembengkakan dan nyeri pada satu atau lebih sendi Anda. Gejala utama arthritis adalah nyeri sendi dan kekakuan, yang biasanya memburuk seiring bertambahnya usia. Jenis arthritis yang paling umum adalah osteoartritis dan rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis adalah peradangan pada saluran pencernaan, terutama perut, serta usus besar dan kecil. Gastroenteritis virus dan bakteri adalah infeksi usus yang terkait dengan gejala diare, kram perut, mual, dan muntah."
Tuberculosis,"Tuberkulosis (TB) adalah penyakit infeksi yang biasanya disebabkan oleh bakteri Mycobacterium tuberculosis (MTB). Tuberkulosis umumnya mempengaruhi paru-paru, tetapi juga bisa mempengaruhi bagian tubuh lainnya. Kebanyakan infeksi tidak menunjukkan gejala, yang dalam kasus ini dikenal sebagai tuberkulosis laten."
