DID,DNAME,PRECAU,OCCUR,RISKFAC
101,Fungal Infection,"Mandilah dua kali sekali, gunakan dettol atau daun nimba dalam air mandi, jaga area yang terinfeksi tetap kering, gunakan kain bersih.",Common -More than 1 million cases per year (India),"Kolonisasi, antibiotik spektrum luas, kateter sentral yang terpasang"
102,Food allergy,"Oleskan calamine, tutup area dengan perban, gunakan es untuk meredakan gatal.",Very common-More than 10 million cases per year (India),"Dermatitis atopi, riwayat keluarga, demam hay"
103,GERD,"Hindari makanan berlemak dan pedas, hindari berbaring setelah makan, pertahankan berat badan yang sehat, berolahraga.",Very common-More than 10 million cases per year (India),"Obesitas, gangguan jaringan ikat, seperti skleroderma"
104,Chronic cholestasis,"Mandi air dingin, gunakan obat penghilang gatal, konsultasi dengan dokter, makan makanan sehat.",Common -More than 1 million cases per year (India),"Infeksi akibat virus seperti HIV, hepatitis, sitomegalovirus"
105,Drug allergy,"Hentikan iritasi, konsultasi ke rumah sakit terdekat, hentikan konsumsi obat dan lakukan follow-up.",Very common-More than 10 million cases per year (India),"Riwayat alergi makanan atau demam hay, riwayat alergi obat, peningkatan paparan terhadap obat"
106,Peptic Ulcer,"Hindari makanan berlemak dan pedas, konsumsi makanan probiotik, hilangkan susu, batasi alkohol.",Common -More than 1 million cases per year (India),"Mengonsumsi NSAID, merokok, infeksi H. pylori, konsumsi alkohol, stres yang tidak diobati"
107,AIDS,"PrEP (profilaksis pra-pajanan), gunakan kondom atau pelindung gigi saat seks oral.",Common -More than 1 million cases per year (India),"Berhubungan seksual tanpa perlindungan, memiliki infeksi menular seksual lainnya"
108,Diabetes,"Makan makanan seimbang, berolahraga, konsultasi dengan dokter, lakukan follow-up.",Very common-More than 10 million cases per year (India),"Penyakit arteri koroner dengan nyeri dada, serangan jantung, stroke, dan penyempitan arteri"
109,Gastroenteritis,"Hentikan makan makanan padat untuk sementara, coba minum sedikit air, istirahat, kembali makan perlahan.",Very common-More than 10 million cases per year (India),Campak dan gangguan imun meningkatkan risiko pasien terhadap masalah pencernaan
110,Asthma,"Ganti dengan pakaian longgar, tarik napas dalam-dalam, jauhkan diri dari pemicu, cari bantuan.",Very common-More than 10 million cases per year (India),"Dada berdebar saat menghembuskan napas, sesak napas, rasa tertekan atau nyeri pada dada"
111,Hypertension,"Mediasi, mandi air garam, kurangi stres, tidur yang cukup.",Very common-More than 10 million cases per year (India),"Diabetes, pola makan tidak sehat, obesitas, konsumsi alkohol berlebihan, penggunaan tembakau, riwayat keluarga, tekanan darah tinggi"
112,Migraine,"Mediasi, kurangi stres, gunakan kacamata polaroid di bawah sinar matahari, konsultasi dengan dokter.",Very common-More than 10 million cases per year (India),"Melewatkan waktu makan, terlalu banyak atau terlalu sedikit tidur, stres, merokok, depresi, kecemasan, konsumsi alkohol berlebihan"
113,Cervical spondylosis,"Gunakan bantalan pemanas atau kompres dingin, berolahraga, minum obat pereda nyeri, konsultasi dengan dokter.",Very common-More than 10 million cases per year (India),"Usia lanjut, stres pada leher, cedera leher, faktor genetik, merokok"
114,Brain hemorrhage,"Jangan merokok, jangan menggunakan narkoba, periksa kemungkinan bedah korektif.",Common -More than 1 million cases per year (India),"Merokok, konsumsi alkohol berlebihan, hipokolesterolemia, penggunaan obat-obatan, usia lanjut, jenis kelamin laki-laki, penyakit ginjal kronis"
115,Jaundice,"Minum banyak air, konsumsi milk thistle, makan buah-buahan dan makanan berserat tinggi, obat-obatan.",Common -More than 1 million cases per year (India),"Kelahiran prematur, memar berat saat lahir, golongan darah, menyusui, ras"
116,Malaria,"Hindari makanan berminyak, hindari makanan non-vegetarian, jaga agar nyamuk tidak masuk.",Rare -Fewer than 1 million cases per year (India),"Ketersediaan tempat berkembang biak bagi nyamuk atau air tergenang dekat rumah, tinggal di luar ruangan semalaman."
117,Chicken pox,"Gunakan daun nimba dalam mandi, konsumsi daun nimba, vaksinasi, hindari tempat umum.",Rare -Fewer than 1 million cases per year (India),Orang yang belum pernah menderita cacar air
118,Dengue,"Minum jus daun pepaya, hindari makanan berlemak dan pedas, jaga nyamuk tetap jauh, tetap terhidrasi.",Very rare- Fewer than 100 thousand cases per year (India),"Tinggal atau bepergian di daerah tropis, infeksi sebelumnya dengan virus demam dengue"
119,Typhoid,"Makan sayuran dengan kalori tinggi, terapi antibiotik, konsultasi dengan dokter, pengobatan.",Very rare- Fewer than 100 thousand cases per year (India),"Bekerja di atau bepergian ke daerah dengan penyakit tipus, minum air yang terkontaminasi"
120,Hepatitis A,"Kenakan sarung tangan lateks saat menangani tinja, urine, air liur, dan darah.",Rare -Fewer than 1 million cases per year (India),"Bepergian ke daerah di mana hepatitis A umum, memiliki kelainan pembekuan darah, seperti hemofilia"
121,Tuberculosis,"Tutup mulut, konsultasi dengan dokter, pengobatan.",Common -More than 1 million cases per year (India),"AIDS, penyakit ginjal parah, pengobatan kanker, obat untuk mencegah penolakan organ transplantasi"
122,Common Cold,"Minum minuman kaya vitamin C, minum uap, hindari makanan dingin, jaga demam tetap terkendali.",Very common-More than 10 million cases per year (India),"Anak di bawah 6 tahun, sistem kekebalan tubuh yang lemah, merokok"
123,Pneumonia,"Praktikkan kebersihan yang baik, jangan merokok, praktikkan gaya hidup sehat, hindari orang sakit.",Very common-More than 10 million cases per year (India),"Asma, penyakit paru obstruktif kronis (PPOK) atau penyakit jantung, merokok, imunitas yang lemah"
124,Piles,"Hindari makanan berlemak dan pedas, konsumsi witch hazel, mandi air hangat dengan garam epsom, konsumsi jus lidah buaya.",Very common-More than 10 million cases per year (India),Kehamilan dan usia lanjut
125,Heart attack,"Makan diet sehat, berolahraga secara teratur, batasi alkohol, jangan merokok, kelola stres.",Very common-More than 10 million cases per year (India),"Tembakau, usia lanjut, kolesterol darah tinggi, obesitas, diabetes, stres, kondisi autoimun"
126,Varicose veins,"Berbaring datar dan angkat kaki tinggi, gunakan salep, gunakan kompresor vena, jangan berdiri terlalu lama.",Very common-More than 10 million cases per year (India),"Usia lanjut, wanita, riwayat keluarga, obesitas, berdiri atau duduk dalam waktu lama"
127,Hypothyroidism,"Kurangi stres, berolahraga, makan dengan sehat, tidur yang cukup.",Very common-More than 10 million cases per year (India),"Wanita, usia lanjut, riwayat keluarga penyakit tiroid, penyakit autoimun, pernah menerima radiasi pada leher"
128,Hypoglycemia,"Berbaring di sisi, periksa denyut nadi, minum minuman manis.",Common -More than 1 million cases per year (India),"Mengonsumsi terlalu banyak insulin, melewatkan waktu makan, atau berolahraga lebih keras dari biasanya"
129,Osteoarthritis,"Asetaminofen, mandi garam, jaga berat badan yang sehat, hindari cedera pada sendi.",Very common-More than 10 million cases per year (India),"Usia lanjut, kelebihan berat badan, wanita, cedera sendi, kelainan tulang, beberapa penyakit metabolik"
130,Arthritis,"Berolahraga, gunakan terapi panas dan dingin, coba akupunktur, pijat.",Very common-More than 10 million cases per year (India),"Riwayat keluarga, cedera sendi sebelumnya, usia lanjut, wanita, obesitas"
131,Paroxysmal Positional Vertigo,"Berbaring, hindari perubahan mendadak pada tubuh, hindari gerakan kepala yang tiba-tiba, rileks.",Common -More than 1 million cases per year (India),"Usia 50 tahun ke atas, wanita, cedera kepala, gangguan organ keseimbangan telinga"
132,Acne,"Mandilah dua kali, hindari makanan berlemak dan pedas, minum banyak air, hindari terlalu banyak produk.",Very common-More than 10 million cases per year (India),"Remaja, perubahan hormonal, gesekan atau tekanan pada kulit, stres, obat-obatan tertentu"
133,Urinary tract infection,"Minum banyak air, tingkatkan asupan vitamin C, minum jus cranberry, konsumsi probiotik.",Very common-More than 10 million cases per year (India),"Wanita, wanita yang menggunakan diafragma, sistem kekebalan tubuh yang tertekan, batu ginjal"
134,Psoriasis,"Cuci tangan dengan air sabun hangat, hentikan pendarahan dengan memberi tekanan, konsultasi dengan dokter, mandi garam.",Very common-More than 10 million cases per year (India),"Riwayat keluarga, infeksi virus dan bakteri, obesitas, luka, merokok"
135,Impetigo,"Cuci tangan dengan sabun dan air, gunakan hand rub alkohol, jangan berbagi barang pribadi.",Very common-More than 10 million cases per year (India),"Diabetes, sistem kekebalan tubuh yang lemah, anak-anak usia 2-5 tahun, kondisi lingkungan yang padat, kulit terluka"
136,Swine flu,"Vaksinasi terhadap H1N1, cuci tangan sering dengan sabun, hindari menyentuh mata, hidung, atau mulut.",Rare -Fewer than 1 million cases per year (India),"Peternak babi dan dokter hewan, bepergian ke daerah yang banyak terjangkit flu babi"
137,ADHD,"Sarapan kaya protein, berjalan kaki ke sekolah jika memungkinkan, sediakan tempat yang tenang untuk mengerjakan PR.",Very common-More than 10 million cases per year (India),"Paparan terhadap racun lingkungan, riwayat keluarga, penggunaan obat-obatan, konsumsi alkohol atau merokok saat hamil"
138,Bird flu,"Gunakan alat makan yang berbeda untuk daging yang sudah dimasak dan mentah, masak daging dengan sempurna, hindari kontak dengan unggas hidup.",Extremely rare- Fewer than 5 thousand cases per year (India),"Kontak dengan burung sakit atau permukaan yang terkontaminasi bulu, air liur, atau kotorannya"
139,Chikungunya,"Cegah gigitan nyamuk, gunakan repelan nyamuk, kenakan baju berlengan panjang dan celana panjang.",Extremely rare- Fewer than 5 thousand cases per year (India),"Usia lanjut, orang dengan kondisi medis yang mendasari seperti hipertensi, diabetes, atau penyakit jantung"
140,Cholera,"Minum air yang aman, cuci tangan dengan sabun secara teratur, gunakan toilet, gunakan air aman untuk memasak.",Extremely rare- Fewer than 5 thousand cases per year (India),"Kondisi sanitasi yang buruk, asam lambung yang berkurang atau tidak ada, golongan darah O, makanan laut yang tidak matang"
141,Depression,"Tangani stres, tingkatkan harga diri, tidur yang cukup, makan dengan baik, dan berolahraga secara teratur.",Very common-More than 10 million cases per year (India),"Sifat tertentu, peristiwa traumatis, riwayat keluarga, alkoholisme atau bunuh diri, interseks, penyakit kronis"
142,Epilepsy,"Ambil jeda secara teratur, minum banyak air, kenakan pakaian pelindung, hindari jalan sibuk saat bersepeda.",Common -More than 1 million cases per year (India),"Riwayat keluarga, penyakit pembuluh darah seperti stroke, demensia, infeksi otak"
143,Gonorrhoea,"Gunakan kondom saat berhubungan seksual, memiliki pasangan monogami yang tidak terinfeksi.",Very common-More than 10 million cases per year (India),"Memiliki pasangan seks dengan banyak pasangan, memiliki banyak pasangan seks, memiliki riwayat penyakit menular seksual"
144,Gout,"Batasi konsumsi alkohol, lemak, turunkan berat badan, makan lebih banyak karbohidrat kompleks, minum banyak air.",Very common-More than 10 million cases per year (India),"Tingginya kadar asam urat, konsumsi alkohol, obesitas, hipertensi, kondisi kronis, pria"
145,Thyroid,"Hindari merokok, minum banyak air, makan makanan kaya selenium, tirosin, dan antioksidan.",Very common-More than 10 million cases per year (India),"Wanita yang sudah menopause, kekurangan kalsium, vitamin D, pengobatan radiasi"
146,Herpes,"Selalu gunakan kondom dan pelindung gigi selama seks oral, anal, dan vaginal.",Very common-More than 10 million cases per year (India),"Memiliki banyak pasangan seks, wanita, berhubungan seks saat infeksi herpes sedang aktif"
147,Insomnia,"Hindari kafein, alkohol larut malam, berolahraga secara teratur, buat tempat tidur nyaman.",Very common-More than 10 million cases per year (India),"Usia lanjut, wanita, saat menopause, siklus menstruasi atau kehamilan, stres, gangguan kesehatan mental"
148,Conjunctivitis,"Hindari menyentuh mata dengan tangan yang tidak dicuci, jangan berbagi barang dengan orang yang terinfeksi.",Very rare- Fewer than 100 thousand cases per year (India),"Menggunakan lensa kontak, paparan terhadap sesuatu yang memiliki alergi"
149,Kidney stones,"Tetap terhidrasi, makan lebih banyak makanan kaya kalsium dan makan lebih sedikit sodium, makanan kaya oksalat, dan protein hewani.",Common -More than 1 million cases per year (India),"Dehidrasi, riwayat keluarga, penyakit pencernaan, obesitas, diet tinggi protein, sodium, dan gula"
150,PCOS,"Pertahankan berat badan yang sehat, batasi karbohidrat, aktif, berolahraga secara teratur.",Common -More than 1 million cases per year (India),"Diabetes, tekanan darah tinggi, kolesterol tidak sehat, depresi dan kecemasan"
151,Rabies,"Vaksinasi anjing dan kucing terhadap rabies, jangan memelihara hewan liar sebagai peliharaan, hindari hewan liar.",Very rare- Fewer than 100 thousand cases per year (India),"Bepergian ke tempat di mana rabies umum, aktivitas yang melibatkan kontak dengan hewan liar"
152,Schizophrenia,"Jangan menggunakan narkoba, dan moderasi konsumsi alkohol, hindari isolasi sosial.",Common -More than 1 million cases per year (India),"Riwayat keluarga, komplikasi kelahiran, penggunaan obat-obatan saat remaja dan masa muda"
153,Diphtheria,Cegah kontak dengan orang yang terinfeksi.,Very rare- Fewer than 100 thousand cases per year (India),"Orang yang tinggal di kondisi sanitasi buruk, siapapun yang berkunjung ke daerah yang lebih banyak terjangkit difteri"
154,E. coli Infection,"Cuci tangan, talenan, dan peralatan setelah kontak dengan daging mentah. Hindari susu mentah, produk susu yang tidak dipasteurisasi.",Very rare- Fewer than 100 thousand cases per year (India),"Sistem kekebalan tubuh yang lemah, makan makanan tertentu, non-vegetarian"
155,Giardiasis,"Praktikkan kebersihan yang baik, hindari air yang terkontaminasi, makan makanan yang terkontaminasi, cegah kontak dengan tinja.",Rare -Fewer than 1 million cases per year (India),"Anak-anak, orang yang tidak memiliki akses ke air bersih, daerah pedesaan atau hutan"
156,Lyme disease,"Gunakan repelan serangga, pastikan halaman rumah bebas kutu, periksa pakaian, anak-anak, dan hewan peliharaan untuk kutu.",Extremely rare- Fewer than 5 thousand cases per year (India),"Menghabiskan waktu di area berhutan atau berumput, tidak segera atau dengan benar menghilangkan kutu"
157,Measles,"Praktikkan kebersihan tangan yang baik, jangan berbagi barang pribadi dengan orang yang mungkin sakit, vaksinasi.",Extremely rare- Fewer than 5 thousand cases per year (India),"Tidak divaksinasi, kekurangan vitamin A, bepergian ke tempat di mana campak umum"
158,Meningitis,"Tutup mulut saat batuk atau bersin, cuci tangan sebelum makan, hindari kontak dengan orang yang sakit.",Extremely rare- Fewer than 5 thousand cases per year (India),"Melewatkan vaksinasi, wanita hamil, sistem kekebalan tubuh lemah, AIDS, alkoholisme, diabetes, menggunakan narkoba"
159,Mumps,"Tutup mulut saat batuk atau bersin, cuci tangan sebelum makan, hindari kontak dengan orang yang sakit.",Very rare- Fewer than 100 thousand cases per year (India),"Tidak divaksinasi, bepergian ke tempat di mana gondongan umum, kontak dengan orang yang sakit"
160,Polio,Lakukan vaksinasi,Extremely rare- Fewer than 5 thousand cases per year (India),"Anak-anak di bawah 5 tahun, orang yang tidak divaksinasi"
161,Rubella,"Mendapatkan vaksinasi, hindari kontak dengan orang yang sakit",Very rare- Fewer than 100 thousand cases per year (India),"Kontak dengan pasien yang terinfeksi, tidak divaksinasi, kerumunan, sistem kekebalan tubuh lemah, petugas medis"
162,Tetanus,"Mengendalikan pendarahan, menjaga luka tetap bersih, menggunakan antibiotik, menutupi luka, mengganti perban",Extremely rare- Fewer than 5 thousand cases per year (India),"Menggunakan narkoba, luka tembak, patah tulang, gigitan hewan atau serangga, luka kaki, luka bedah"
163,Whooping cough,Mendapatkan vaksinasi,Rare -Fewer than 1 million cases per year (India),"Tidak divaksinasi, bepergian ke tempat yang memiliki infeksi batuk rejan, kontak dengan orang yang sakit"
164,Yellow fever,"Mencegah gigitan nyamuk dengan menggunakan obat nyamuk, mengenakan pakaian pelindung, dan mendapatkan vaksinasi sebelum bepergian",Extremely rare- Fewer than 5 thousand cases per year (India),Jika bepergian ke daerah yang nyamuk terus membawa virus demam kuning
165,Anthrax,"Hindari menyentuh permukaan yang terkontaminasi, hindari kontak dengan orang yang sakit, dan mencegah gigitan hewan",Extremely rare- Fewer than 5 thousand cases per year (India),"Menangani kulit atau bulu hewan, bekerja dengan antras di laboratorium, menyuntikkan narkoba ilegal"
166,Chlamydia,"Menggunakan kondom saat berhubungan seksual, memiliki pasangan seksual monogami yang tidak terinfeksi",Common -More than 1 million cases per year (India),"Memiliki pasangan seks dengan banyak pasangan, memiliki banyak pasangan seks, memiliki riwayat penyakit menular seksual"
167,Leprosy,Diagnosis dan pengobatan dini untuk orang yang terinfeksi,Very rare- Fewer than 100 thousand cases per year (India),"Tinggal di daerah endemik, kontak dengan orang yang menderita kusta"
168,Phthiriasis,Jangan menggunakan barang pribadi orang yang terinfeksi,Rare -Fewer than 1 million cases per year (India),Jika berhubungan seks dengan orang yang memiliki kutu kemaluan
169,Salmonella,"Hindari makan telur mentah, daging setengah matang, simpan makanan dengan benar, dan cuci tangan setelah kontak dengan daging",Common -More than 1 million cases per year (India),"Memiliki burung peliharaan atau reptil, penyakit radang usus, AIDS, penyakit sel sabit, malaria"
170,Smallpox,"Mendapatkan vaksinasi, hindari kontak dengan orang yang sakit",Extremely rare- Fewer than 5 thousand cases per year (India),"Tidak divaksinasi, kontak dengan orang yang menderita cacar"
171,Vaginosis,"Hindari mencuci berlebihan, hindari menggunakan deterjen yang keras untuk pakaian dalam, dan ganti tampon atau pembalut secara teratur",Very common-More than 10 million cases per year (India),"Memiliki banyak pasangan seks, kekurangan bakteri lactobacilli secara alami, douching"
172,Zika,"Mencegah gigitan nyamuk, menggunakan kondom, menggunakan obat nyamuk, dan mengenakan pakaian pelindung saat bepergian",Extremely rare- Fewer than 5 thousand cases per year (India),"Tinggal atau bepergian ke negara yang sedang mengalami wabah, berhubungan seks tanpa perlindungan"
173,Stroke,"Pola makan sehat, olahraga secara teratur, serta hindari merokok dan mengonsumsi alkohol berlebihan",Common -More than 1 million cases per year (India),"Obesitas, konsumsi alkohol berat, penggunaan narkoba ilegal, hipertensi, merokok, kolesterol tinggi"
174,Cystic fibrosis,"Menjaga kebersihan tangan yang tepat, membangun kekebalan tubuh",Rare -Fewer than 1 million cases per year (India),"Riwayat keluarga, lebih sering terjadi pada orang kulit putih"
175,Autism,"Hidup sehat dengan rutin melakukan pemeriksaan kesehatan, makan makanan seimbang, dan berolahraga",Common -More than 1 million cases per year (India),"Riwayat keluarga, laki-laki, gangguan lain, bayi prematur, orang tua yang lebih tua saat kelahiran anak"
176,Eczema,"Membangun rutinitas perawatan kulit, menggunakan sabun ringan, dan menggunakan sarung tangan jika pekerjaan memerlukan tangan terendam air",Very common-More than 10 million cases per year (India),"Riwayat keluarga eksim, alergi, demam hay, atau asma"
177,Down syndrome,Tidak ada tindakan pencegahan,Common -More than 1 million cases per year (India),Riwayat keluarga
178,Fibromyalgia,"Tidur yang cukup, mengurangi stres emosional dan mental, berolahraga secara teratur, dan makan makanan seimbang",Very common-More than 10 million cases per year (India),"Riwayat keluarga, wanita, osteoarthritis, rheumatoid arthritis atau lupus"
179,Muscular dystrophy,"Olahraga, pelindung, alat bantu mobilitas, bantuan pernapasan, berenang",Rare -Fewer than 1 million cases per year (India),Riwayat keluarga
180,Adenomyosis,Tidak ada tindakan pencegahan,Common -More than 1 million cases per year (India),"Pembedahan rahim sebelumnya, seperti operasi caesar atau pengangkatan mioma, persalinan, usia menengah"
181,Sickle cell anemia,"Mengonsumsi suplemen asam folat setiap hari, pola makan sehat, minum banyak air, hindari suhu ekstrem",Rare -Fewer than 1 million cases per year (India),Jika kedua orang tua membawa gen sel sabit
182,scleroderma,"Memijat kulit secara teratur, hindari sabun yang mengeringkan kulit, menjaga kelembapan kulit dengan lotion pelembap",Rare -Fewer than 1 million cases per year (India),"Genetik, wanita, masalah sistem kekebalan tubuh, pemicu lingkungan"
183,Thrombocythemia,Tidak ada tindakan pencegahan,Rare -Fewer than 1 million cases per year (India),"Kolesterol darah tinggi, tekanan darah tinggi, diabetes, dan merokok"
184,Alzheimer's,"Berhenti merokok, mengurangi konsumsi alkohol, makan makanan sehat dan seimbang, berolahraga",Common -More than 1 million cases per year (India),"Kurang olahraga, obesitas, merokok, hipertensi, kolesterol tinggi, diabetes yang buruk terkendali, riwayat keluarga"
185,Cerebral palsy,"Memastikan anak divaksinasi, menggunakan kursi mobil yang tepat, menggunakan tempat tidur dengan pembatas, jangan mengguncang bayi",Common -More than 1 million cases per year (India),"Berat badan lahir rendah, jaundice berat atau yang tidak diobati, kelahiran prematur, ensefalitis virus, toksoplasmosis"
186,Anemia,"Mengonsumsi makanan kaya zat besi seperti ikan, unggas, telur, daging, kacang polong, kacang-kacangan, dan kentang",Very common-More than 10 million cases per year (India),"Riwayat keluarga, diet yang kekurangan vitamin dan mineral tertentu, gangguan pencernaan, kehamilan"
187,Ankylosing spondylitis,"Hindari alkohol, pastikan cukup kalsium dan vitamin D, menjaga postur tubuh yang baik, dan berolahraga",Common -More than 1 million cases per year (India),"Usia remaja akhir atau awal dewasa, laki-laki, riwayat keluarga"
188,Lupus,"Batasi paparan sinar matahari, tidur cukup, kelola stres, dan hindari orang yang sakit",Common -More than 1 million cases per year (India),"Laki-laki, kulit hitam, Latino, dan orang Asia-Amerika lebih mungkin menderita lupus nefritis daripada orang kulit putih"
189,Multiple sclerosis,Tidak ada tindakan pencegahan,Rare -Fewer than 1 million cases per year (India),"Riwayat keluarga, wanita, merokok, kekurangan vitamin D, diabetes, penyakit radang usus"
190,Ascariasis,"Hindari mengonsumsi tanah yang mungkin terkontaminasi kotoran manusia atau babi, cuci tangan sebelum makan",Very common-More than 10 million cases per year (India),"Anak-anak yang cenderung bermain di tanah, sanitasi buruk"
191,Amnesia,"Hindari konsumsi alkohol berlebihan, narkoba, tetap aktif secara mental, berolahraga, dan gunakan pelindung saat bermain",Very common-More than 10 million cases per year (India),"Operasi otak, cedera atau trauma kepala, stroke, penyalahgunaan alkohol, kejang"
192,Anxiety disorders,"Hindari kopi, teh, cola, dan cokelat, berolahraga setiap hari, dan makan makanan sehat yang seimbang",Very common-More than 10 million cases per year (India),"Trauma, stres akibat penyakit, gangguan kesehatan mental lainnya, riwayat keluarga"
193,Bladder stones,"Minum banyak cairan, terutama air",Common -More than 1 million cases per year (India),"Kerusakan saraf, stroke, cedera tulang belakang, penyakit Parkinson, diabetes, pria"
194,Breast cysts,Tidak ada tindakan pencegahan,Common -More than 1 million cases per year (India),Menggunakan terapi penggantian hormon dapat meningkatkan risiko mengembangkan kista baru
195,Bronchitis,"Jangan merokok, cuci tangan secara teratur, kenakan masker di kerumunan besar, dan hindari kontak dengan orang yang sakit",Very common-More than 10 million cases per year (India),"Asap rokok, refluks lambung, paparan iritan di tempat kerja, imunitas yang lemah"
196,Cirrhosis,"Jangan menyalahgunakan alkohol, hindari perilaku seksual berisiko tinggi, vaksinasi terhadap hepatitis B, dan diet rendah lemak",Common -More than 1 million cases per year (India),"Konsumsi alkohol berlebihan, hepatitis virus, obesitas"
197,Dementia,"Pola makan seimbang, berolahraga secara teratur, berhenti merokok, batasi konsumsi alkohol sesuai batas yang disarankan",Very common-More than 10 million cases per year (India),"Depresi, merokok, diabetes, sleep apnea, sindrom Down, riwayat keluarga, konsumsi alkohol berat"
198,Gallstones,"Makan lebih banyak makanan tinggi serat, lebih sedikit karbohidrat olahan, lebih sedikit gula, dan hindari lemak yang tidak sehat",Very common-More than 10 million cases per year (India),"Anemia sel sabit atau leukemia, riwayat keluarga, wanita, diabetes, kehamilan"
199,Gastritis,"Hindari makanan pemicu yang diketahui, berhenti merokok, kelola stres, hindari alkohol, dan pertahankan berat badan sehat",Common -More than 1 million cases per year (India),"Konsumsi alkohol berlebihan, stres, usia lanjut, infeksi bakteri, kekurangan vitamin B12"
1100,Iritis,"Melindungi mata dari cedera, hindari paparan mata terhadap infeksi, dan konsumsi makanan yang kaya vitamin C dan E",Rare -Fewer than 1 million cases per year (India),"Mengembangkan infeksi menular seksual, merokok tembakau, memiliki perubahan genetik tertentu"
